iter	Logloss
0	0.6378992735
1	0.5990256601
2	0.5651970394
3	0.5401964889
4	0.5205644192
5	0.5038226779
6	0.4922192516
7	0.4826034857
8	0.4751829564
9	0.4696239011
10	0.464014072
11	0.4588215511
12	0.4547586657
13	0.4514810108
14	0.4487362281
15	0.4466606937
16	0.4449222132
17	0.4435033394
18	0.4423561287
19	0.4411410247
20	0.4403548858
21	0.439588523
22	0.4388279456
23	0.4384086043
24	0.4381054107
25	0.4375335407
26	0.4371760887
27	0.4367054765
28	0.4363313226
29	0.4358342136
30	0.435438281
31	0.4352796879
32	0.4350389087
33	0.4346453171
34	0.4344116969
35	0.4341969803
36	0.4340514428
37	0.4337587793
38	0.4336489174
39	0.433461129
40	0.4331917916
41	0.4330208179
42	0.4327841469
43	0.4326516233
44	0.4326421362
45	0.4325226914
46	0.4323114514
47	0.4323094412
48	0.4321645918
49	0.4320163662
50	0.4318597816
51	0.4317625067
52	0.4315795526
53	0.4313989855
54	0.431302719
55	0.4312904783
56	0.4311695333
57	0.4310868476
58	0.4309932335
59	0.4309653322
60	0.4309382495
61	0.4309022064
62	0.4307067888
63	0.4304939512
64	0.4303966796
65	0.4302220689
66	0.4300535361
67	0.4299887419
68	0.4299018637
69	0.4297241543
70	0.4296469094
71	0.4295742129
72	0.4294146452
73	0.4292333674
74	0.4291851912
75	0.4290490169
76	0.4290003039
77	0.4289275586
78	0.428804661
79	0.4285920654
80	0.4285056736
81	0.4284283622
82	0.4283513576
83	0.4282644707
84	0.4281736289
85	0.4280589202
86	0.4279472843
87	0.4279471481
88	0.4277284339
89	0.4276646717
90	0.4276645916
91	0.4276324147
92	0.427630106
93	0.4276027423
94	0.4275025983
95	0.4274382234
96	0.427348873
97	0.4272752626
98	0.4271805094
99	0.4270725516
100	0.4269545295
101	0.4268638865
102	0.4267605877
103	0.4266075923
104	0.4265066523
105	0.4264592214
106	0.4263679365
107	0.4261565435
108	0.4260920555
109	0.4259565253
110	0.4258606767
111	0.4257294028
112	0.4256441098
113	0.425500009
114	0.4253779603
115	0.4252946856
116	0.4252094381
117	0.4250636268
118	0.4250077689
119	0.424872159
120	0.4247680801
121	0.4246604807
122	0.4245130372
123	0.4243967696
124	0.4243062737
125	0.424191211
126	0.4241089514
127	0.4240014921
128	0.4239018277
129	0.4238022991
130	0.4236643097
131	0.4235946606
132	0.423505712
133	0.4233505675
134	0.4232568861
135	0.4231876092
136	0.4230697821
137	0.4230293293
138	0.4228808152
139	0.422771074
140	0.4226503817
141	0.42251374
142	0.4224234739
143	0.4223662787
144	0.4222457331
145	0.4221943692
146	0.4220908928
147	0.4219360637
148	0.421811886
149	0.4217279776
150	0.4216349272
151	0.4215882661
152	0.4215526035
153	0.4214768951
154	0.4213876491
155	0.421287049
156	0.4211431561
157	0.4210521919
158	0.420974625
159	0.4209398117
160	0.4208562906
161	0.4207577223
162	0.420682087
163	0.4206269795
164	0.4205232372
165	0.4204685561
166	0.4203847401
167	0.4203078378
168	0.4202239418
169	0.4201462648
170	0.4200262041
171	0.4199467899
172	0.419838107
173	0.419738341
174	0.4196608976
175	0.4195911778
176	0.4195129962
177	0.4194609445
178	0.419359328
179	0.4192434367
180	0.4191783619
181	0.4190766907
182	0.4190450814
183	0.4190017315
184	0.4189031061
185	0.4187953688
186	0.4187409364
187	0.4186381165
188	0.4185619215
189	0.4184956772
190	0.4184593282
191	0.4183799208
192	0.418348825
193	0.4182740621
194	0.418198946
195	0.4181490348
196	0.4180402633
197	0.4179803195
198	0.4179185229
199	0.4178688299
200	0.4178226926
201	0.4177459263
202	0.4176728992
203	0.4175669415
204	0.4174943246
205	0.417369357
206	0.4172571304
207	0.4171538466
208	0.4170436356
209	0.4169884181
210	0.416902314
211	0.4168345664
212	0.416786272
213	0.4167145335
214	0.4166567483
215	0.4165712212
216	0.4165137814
217	0.4164714601
218	0.4163881675
219	0.4163498782
220	0.4162952181
221	0.4162357285
222	0.4161555633
223	0.4160790234
224	0.4160182911
225	0.4159597047
226	0.4158964096
227	0.4158177757
228	0.415767921
229	0.4157403105
230	0.4156686532
231	0.4156062809
232	0.4155262287
233	0.4154774721
234	0.4154241145
235	0.4153868108
236	0.4153106129
237	0.4152501234
238	0.4151826426
239	0.4151078305
240	0.4150493768
241	0.4149892471
242	0.4149672557
243	0.4148621372
244	0.4148021613
245	0.4147643959
246	0.4147210133
247	0.4146828312
248	0.4146011867
249	0.4145650701
250	0.4145083132
251	0.4144570862
252	0.4143722908
253	0.41433295
254	0.4142924391
255	0.4142371458
256	0.4141397772
257	0.414072262
258	0.4140322226
259	0.4139624386
260	0.4139126118
261	0.4138302561
262	0.413700563
263	0.4136208937
264	0.413586845
265	0.4134945412
266	0.4134424835
267	0.4133435295
268	0.4132728372
269	0.4132266847
270	0.4131813359
271	0.4130956035
272	0.4130528483
273	0.4129950636
274	0.4129786907
275	0.4129589221
276	0.4128754244
277	0.4128051274
278	0.4127255206
279	0.4126513798
280	0.412575818
281	0.4125141154
282	0.4124804079
283	0.4124453901
284	0.4124189492
285	0.4123442284
286	0.4122465052
287	0.4122177026
288	0.4121993184
289	0.412172393
290	0.4121470003
291	0.4120822305
292	0.4120240237
293	0.4119773504
294	0.4119273196
295	0.4118700379
296	0.4118240509
297	0.4117738279
298	0.4117138848
299	0.4116538054
300	0.4116253998
301	0.4115392473
302	0.4114989703
303	0.4114498553
304	0.4114035384
305	0.4113686365
306	0.4113077058
307	0.4112553111
308	0.4111928822
309	0.4111401118
310	0.4110667332
311	0.4110135068
312	0.4109587118
313	0.4109273448
314	0.41088976
315	0.4108056291
316	0.4107496032
317	0.4107256083
318	0.4106616175
319	0.4106336006
320	0.4105866517
321	0.4105263077
322	0.4104580759
323	0.4104122187
324	0.4103557484
325	0.4103335348
326	0.4102846109
327	0.410252978
328	0.4101642342
329	0.4101461575
330	0.4101207433
331	0.410099009
332	0.4100645455
333	0.4100104915
334	0.4099767208
335	0.4099207294
336	0.4098676111
337	0.4098348347
338	0.4097878254
339	0.4096980782
340	0.4096340074
341	0.4095838314
342	0.4095253447
343	0.4094756922
344	0.4094186898
345	0.4093980614
346	0.4093614171
347	0.4092745196
348	0.4092313195
349	0.4091390793
350	0.4090312088
351	0.4089704434
352	0.4089034089
353	0.4088666016
354	0.4088191897
355	0.4087945721
356	0.4087367207
357	0.4086968953
358	0.4086240464
359	0.4085912436
360	0.408572727
361	0.4085386676
362	0.4084763779
363	0.4084136693
364	0.4083665222
365	0.4083255912
366	0.4083030832
367	0.4082657041
368	0.4082474617
369	0.4082022294
370	0.4081695277
371	0.4081397048
372	0.4081045388
373	0.4080921917
374	0.4080812922
375	0.4080339169
376	0.4079863645
377	0.407915254
378	0.4078590119
379	0.4078208466
380	0.4077869252
381	0.4077617474
382	0.4077206514
383	0.4076801539
384	0.4076319997
385	0.4075734999
386	0.4075084451
387	0.4074636283
388	0.4074534783
389	0.4074368405
390	0.4073709935
391	0.4073190028
392	0.4073029622
393	0.4072708618
394	0.4072052306
395	0.4071340654
396	0.4070818265
397	0.4069977482
398	0.406971499
399	0.406896606
400	0.4068800676
401	0.4068585999
402	0.406809502
403	0.4067752343
404	0.4067334051
405	0.4066978077
406	0.406631953
407	0.4065890644
408	0.4065744374
409	0.4065042346
410	0.4064594427
411	0.4064357837
412	0.406419347
413	0.4063662663
414	0.4063235393
415	0.4062687337
416	0.4062452343
417	0.4062246556
418	0.4061538188
419	0.4061159543
420	0.4060935704
421	0.4060774097
422	0.4060525778
423	0.4060017777
424	0.4059554284
425	0.4059068296
426	0.4058842617
427	0.4058389069
428	0.4057985793
429	0.4057560152
430	0.4057342465
431	0.405716502
432	0.4056732123
433	0.4056186297
434	0.4055788608
435	0.4055352298
436	0.4055113528
437	0.4054938958
438	0.4054459141
439	0.405422444
440	0.4053800358
441	0.4053310229
