iter	Passed	Remaining
414	3514	4953
415	3522	4945
416	3530	4936
417	3538	4926
418	3546	4917
419	3554	4908
420	3562	4899
421	3570	4889
422	3578	4881
423	3587	4873
424	3596	4866
425	3606	4859
426	3615	4851
427	3623	4842
428	3631	4833
429	3639	4824
430	3647	4815
431	3655	4805
432	3663	4796
433	3670	4787
434	3678	4778
435	3686	4768
436	3694	4759
437	3702	4750
438	3710	4741
439	3718	4732
440	3726	4723
441	3734	4714
442	3741	4704
443	3749	4695
444	3757	4686
445	3766	4678
446	3777	4673
447	3787	4666
448	3796	4659
449	3805	4650
450	3813	4642
451	3821	4632
452	3829	4624
453	3837	4615
454	3845	4606
455	3853	4597
456	3862	4588
457	3870	4579
458	3877	4570
459	3885	4561
460	3893	4552
461	3901	4542
462	3908	4533
463	3916	4524
464	3924	4515
465	3932	4506
466	3940	4497
467	3948	4488
468	3957	4480
469	3964	4471
470	3973	4463
471	3981	4454
472	3989	4445
473	3997	4436
474	4005	4427
475	4013	4418
476	4021	4409
477	4029	4400
478	4037	4391
479	4045	4382
480	4053	4373
481	4061	4364
482	4068	4354
483	4076	4345
484	4083	4336
485	4092	4327
486	4099	4318
487	4107	4309
488	4116	4301
489	4123	4291
490	4131	4282
491	4139	4273
492	4147	4264
493	4155	4256
494	4163	4247
495	4171	4239
496	4179	4230
497	4187	4221
498	4195	4212
499	4203	4203
500	4211	4194
501	4219	4185
502	4227	4176
503	4235	4168
504	4243	4159
505	4251	4150
506	4258	4141
507	4266	4132
508	4274	4123
509	4282	4114
510	4290	4105
511	4297	4096
512	4305	4087
513	4314	4079
514	4322	4070
515	4330	4062
516	4339	4053
517	4347	4045
518	4357	4038
519	4366	4030
520	4374	4022
521	4383	4014
522	4392	4005
523	4399	3996
524	4408	3988
525	4416	3979
526	4424	3971
527	4433	3962
528	4441	3954
529	4449	3946
530	4457	3937
531	4466	3928
532	4474	3920
533	4482	3911
534	4489	3901
535	4497	3893
536	4505	3884
537	4513	3875
538	4521	3867
539	4529	3858
540	4537	3849
541	4545	3841
542	4554	3833
543	4563	3825
544	4572	3817
545	4580	3808
546	4588	3800
547	4597	3791
548	4605	3783
549	4613	3775
550	4622	3766
551	4630	3757
552	4638	3749
553	4646	3740
554	4654	3731
555	4662	3723
556	4670	3714
557	4678	3706
558	4686	3697
559	4695	3689
560	4703	3680
561	4711	3672
562	4719	3663
563	4727	3654
564	4736	3646
565	4746	3639
566	4755	3631
567	4764	3623
568	4772	3615
569	4781	3606
570	4789	3598
571	4797	3589
572	4806	3581
573	4814	3572
574	4822	3564
575	4830	3555
576	4838	3546
577	4846	3538
578	4854	3529
579	4863	3521
580	4871	3513
581	4880	3505
582	4888	3496
583	4896	3487
584	4904	3479
585	4911	3469
586	4919	3461
587	4927	3452
588	4935	3444
589	4944	3436
590	4952	3427
591	4961	3419
592	4969	3410
593	4977	3402
594	4985	3393
595	4993	3385
596	5001	3376
597	5010	3368
598	5018	3359
599	5026	3350
600	5034	3342
601	5042	3334
602	5050	3325
603	5059	3317
604	5067	3308
605	5075	3299
606	5083	3291
607	5091	3282
608	5099	3274
609	5107	3265
610	5116	3257
611	5125	3249
612	5134	3241
613	5142	3233
614	5151	3224
615	5159	3216
616	5167	3207
617	5175	3199
618	5183	3190
619	5192	3182
620	5200	3173
621	5209	3165
622	5217	3157
623	5225	3148
624	5233	3139
625	5241	3131
626	5249	3123
627	5257	3114
628	5265	3105
629	5274	3097
630	5282	3089
631	5290	3080
632	5298	3071
633	5306	3063
634	5314	3055
635	5322	3046
636	5331	3038
637	5339	3029
638	5347	3021
639	5355	3012
640	5363	3004
641	5372	2995
642	5380	2987
643	5389	2979
644	5397	2970
645	5405	2962
646	5414	2953
647	5422	2945
648	5430	2937
649	5438	2928
650	5446	2920
651	5454	2911
652	5462	2902
653	5471	2894
654	5479	2886
655	5487	2877
656	5495	2868
657	5503	2860
658	5511	2851
659	5521	2844
660	5530	2836
661	5539	2828
662	5549	2820
663	5559	2813
664	5569	2805
665	5580	2798
666	5590	2791
667	5600	2783
668	5610	2775
669	5621	2769
670	5632	2761
671	5643	2754
672	5654	2747
673	5664	2739
674	5674	2732
675	5685	2724
676	5695	2717
677	5705	2709
678	5716	2702
679	5726	2694
680	5737	2687
681	5749	2681
682	5760	2673
683	5770	2666
684	5781	2658
685	5791	2651
686	5801	2643
687	5811	2635
688	5822	2627
689	5832	2620
690	5841	2612
691	5852	2604
692	5862	2597
693	5872	2589
694	5882	2581
695	5892	2573
696	5902	2565
697	5912	2558
698	5923	2550
699	5934	2543
700	5945	2535
701	5954	2527
702	5965	2520
703	5974	2512
704	5984	2504
705	5994	2496
706	6005	2488
707	6013	2480
708	6020	2471
709	6028	2462
710	6036	2453
711	6044	2444
712	6053	2436
713	6061	2428
714	6069	2419
715	6077	2410
716	6085	2401
717	6093	2393
718	6101	2384
719	6109	2375
720	6117	2367
721	6125	2358
722	6134	2350
723	6142	2341
724	6151	2333
725	6159	2324
726	6167	2316
727	6175	2307
728	6183	2298
729	6191	2290
730	6199	2281
731	6207	2272
732	6215	2264
733	6223	2255
734	6231	2246
735	6239	2238
736	6247	2229
737	6255	2220
738	6265	2212
739	6274	2204
740	6281	2195
741	6289	2186
742	6297	2178
743	6304	2169
744	6312	2160
745	6320	2152
746	6328	2143
747	6336	2134
748	6344	2126
749	6352	2117
750	6360	2108
751	6368	2100
752	6375	2091
753	6384	2082
754	6392	2074
755	6400	2065
756	6408	2057
757	6415	2048
758	6423	2039
759	6430	2030
760	6438	2022
761	6446	2013
762	6454	2004
763	6461	1996
764	6470	1987
765	6478	1978
766	6485	1970
767	6494	1961
768	6502	1953
769	6511	1945
770	6521	1936
771	6532	1929
772	6541	1920
773	6551	1913
774	6560	1904
775	6568	1896
776	6577	1887
777	6586	1879
778	6595	1871
779	6604	1862
780	6613	1854
781	6621	1846
782	6630	1837
783	6639	1829
784	6649	1821
785	6660	1813
786	6670	1805
787	6679	1796
788	6687	1788
789	6696	1780
790	6704	1771
791	6712	1762
792	6720	1754
793	6728	1745
794	6736	1737
795	6744	1728
796	6753	1720
797	6761	1711
798	6769	1702
799	6777	1694
800	6785	1685
801	6793	1677
802	6802	1668
803	6810	1660
804	6818	1651
805	6826	1643
806	6834	1634
807	6842	1625
808	6851	1617
809	6859	1608
810	6867	1600
811	6875	1591
812	6882	1583
813	6890	1574
814	6899	1566
815	6906	1557
816	6914	1548
817	6922	1540
818	6930	1531
819	6938	1523
820	6946	1514
821	6954	1505
822	6962	1497
823	6970	1488
824	6978	1480
825	6986	1471
826	6994	1463
827	7003	1454
828	7010	1446
829	7018	1437
830	7026	1429
831	7035	1420
832	7043	1411
833	7052	1403
834	7061	1395
835	7069	1386
836	7078	1378
837	7086	1369
838	7095	1361
839	7103	1353
840	7111	1344
841	7119	1335
842	7127	1327
843	7135	1318
844	7144	1310
845	7152	1301
846	7160	1293
847	7168	1284
848	7176	1276
849	7184	1267
850	7192	1259
851	7200	1250
852	7209	1242
853	7217	1233
854	7226	1225
855	7234	1216
856	7242	1208
857	7251	1200
858	7259	1191
859	7267	1183
860	7275	1174
861	7286	1166
862	7295	1158
863	7306	1150
864	7315	1141
865	7324	1133
866	7335	1125
867	7344	1116
868	7353	1108
869	7362	1100
870	7370	1091
871	7378	1083
872	7386	1074
873	7394	1066
874	7402	1057
875	7410	1048
876	7417	1040
877	7425	1031
878	7433	1023
879	7441	1014
880	7451	1006
881	7460	998
882	7468	989
883	7476	981
884	7484	972
885	7493	964
886	7501	955
887	7510	947
888	7518	938
889	7526	930
890	7535	921
891	7543	913
892	7551	904
893	7560	896
894	7568	887
895	7576	879
896	7584	870
897	7593	862
898	7601	853
899	7609	845
900	7617	837
901	7625	828
902	7634	820
903	7643	811
904	7652	803
905	7662	794
906	7671	786
907	7679	778
908	7688	769
909	7696	761
910	7704	752
911	7712	744
912	7720	735
913	7728	727
914	7736	718
915	7744	710
916	7752	701
917	7760	693
918	7769	684
919	7777	676
920	7785	667
921	7793	659
922	7802	650
923	7810	642
924	7818	633
925	7826	625
926	7835	617
927	7843	608
928	7853	600
929	7861	591
930	7869	583
931	7877	574
932	7885	566
933	7893	557
934	7901	549
935	7909	540
936	7917	532
937	7925	523
938	7933	515
939	7941	506
940	7949	498
941	7958	489
