iter	Passed	Remaining
418	2606	3614
419	2612	3608
420	2618	3600
421	2623	3593
422	2629	3587
423	2635	3580
424	2642	3575
425	2648	3568
426	2654	3561
427	2660	3555
428	2665	3547
429	2671	3540
430	2677	3534
431	2682	3526
432	2686	3517
433	2692	3511
434	2698	3505
435	2705	3499
436	2710	3492
437	2716	3486
438	2723	3480
439	2729	3473
440	2734	3465
441	2740	3459
442	2746	3452
443	2752	3446
444	2757	3439
445	2762	3431
446	2768	3424
447	2774	3418
448	2779	3411
449	2785	3404
450	2790	3397
451	2796	3390
452	2802	3383
453	2808	3377
454	2813	3370
455	2820	3364
456	2825	3357
457	2831	3351
458	2837	3343
459	2843	3337
460	2849	3331
461	2855	3325
462	2861	3319
463	2867	3312
464	2873	3305
465	2879	3299
466	2885	3293
467	2889	3284
468	2895	3277
469	2901	3271
470	2906	3264
471	2912	3258
472	2919	3252
473	2925	3246
474	2931	3240
475	2938	3235
476	2943	3226
477	2949	3220
478	2955	3214
479	2961	3207
480	2966	3201
481	2972	3194
482	2978	3187
483	2983	3181
484	2990	3175
485	2996	3168
486	3001	3161
487	3007	3155
488	3011	3146
489	3015	3138
490	3021	3132
491	3026	3125
492	3030	3117
493	3037	3110
494	3041	3103
495	3048	3097
496	3053	3090
497	3059	3084
498	3063	3076
499	3070	3070
500	3076	3064
501	3082	3057
502	3088	3051
503	3093	3044
504	3099	3038
505	3105	3032
506	3111	3025
507	3117	3018
508	3122	3012
509	3128	3005
510	3134	2999
511	3138	2991
512	3145	2986
513	3152	2980
514	3156	2972
515	3162	2966
516	3168	2960
517	3174	2953
518	3180	2947
519	3186	2941
520	3192	2935
521	3198	2929
522	3204	2922
523	3210	2916
524	3216	2909
525	3222	2903
526	3228	2897
527	3235	2892
528	3239	2884
529	3245	2878
530	3251	2871
531	3256	2864
532	3262	2858
533	3268	2852
534	3274	2846
535	3278	2838
536	3284	2831
537	3290	2825
538	3296	2819
539	3300	2811
540	3305	2804
541	3311	2798
542	3317	2792
543	3323	2786
544	3330	2780
545	3336	2774
546	3342	2768
547	3348	2762
548	3354	2755
549	3359	2748
550	3365	2742
551	3371	2735
552	3377	2729
553	3381	2721
554	3386	2715
555	3392	2709
556	3397	2702
557	3403	2696
558	3409	2689
559	3414	2683
560	3421	2677
561	3427	2671
562	3433	2664
563	3439	2658
564	3445	2652
565	3450	2646
566	3456	2639
567	3462	2633
568	3468	2627
569	3473	2620
570	3479	2614
571	3485	2607
572	3490	2601
573	3494	2593
574	3500	2587
575	3506	2581
576	3512	2574
577	3518	2568
578	3524	2562
579	3530	2556
580	3536	2550
581	3541	2543
582	3548	2537
583	3554	2532
584	3560	2525
585	3566	2519
586	3572	2513
587	3578	2507
588	3584	2501
589	3590	2495
590	3596	2489
591	3602	2482
592	3605	2474
593	3611	2468
594	3617	2462
595	3620	2454
596	3626	2448
597	3633	2442
598	3638	2435
599	3644	2429
600	3650	2423
601	3656	2417
602	3661	2410
603	3667	2404
604	3673	2398
605	3679	2392
606	3685	2386
607	3691	2380
608	3697	2374
609	3703	2367
610	3709	2361
611	3715	2355
612	3721	2349
613	3727	2343
614	3731	2336
615	3737	2329
616	3743	2323
617	3748	2317
618	3754	2310
619	3760	2304
620	3765	2298
621	3769	2290
622	3775	2284
623	3781	2278
624	3786	2272
625	3790	2264
626	3796	2258
627	3803	2252
628	3808	2246
