iter	CrossEntropy
380	0.4340692759
381	0.434034313
382	0.434014395
383	0.4339888518
384	0.4339806307
385	0.4339560218
386	0.4339304828
387	0.433905473
388	0.433881679
389	0.4338620338
390	0.433829439
391	0.4338112648
392	0.4337833931
393	0.4337589514
394	0.4337461248
395	0.4337266553
396	0.4337032182
397	0.4336800925
398	0.4336631727
399	0.4336421791
400	0.4336184259
401	0.4335936175
402	0.4335639053
403	0.4335540781
404	0.4335355265
405	0.4335060262
406	0.4334894583
407	0.4334630958
408	0.4334488129
409	0.4334333014
410	0.4334121077
411	0.4333924573
412	0.4333875306
413	0.4333692638
414	0.4333690235
415	0.4333563089
416	0.4333438075
417	0.4333328876
418	0.4333137389
419	0.433283243
420	0.433265002
421	0.4332473383
422	0.4332268849
423	0.4332014009
424	0.4331736576
425	0.4331467398
426	0.4331208105
427	0.433105771
428	0.4330906475
429	0.433077571
430	0.4330603041
431	0.4330384203
432	0.4330376122
433	0.4330195087
434	0.4329904683
435	0.4329677678
436	0.4329613489
437	0.4329373012
438	0.4329177716
439	0.4329058847
440	0.4328983159
441	0.4328773555
442	0.4328671219
443	0.4328537136
444	0.4328385743
445	0.4328364183
446	0.4328246256
447	0.4328064283
448	0.4327854398
449	0.4327685805
450	0.4327634499
451	0.4327491638
452	0.4327326846
453	0.4327224881
454	0.4327103063
455	0.432695019
456	0.432673493
457	0.4326526895
458	0.4326319269
459	0.4326173488
460	0.4325960825
461	0.4325732275
462	0.432548993
463	0.4325402095
464	0.4325186163
465	0.4324981276
466	0.4324692159
467	0.4324689312
468	0.432443821
469	0.4324289441
470	0.4324111167
471	0.4324020815
472	0.4323893377
473	0.4323750692
474	0.4323548297
475	0.4323333846
476	0.4323307854
477	0.4323131617
478	0.4322937578
479	0.4322695789
480	0.4322569365
481	0.4322402671
482	0.4322322981
483	0.4322124988
484	0.4321982051
485	0.4321736051
486	0.432167955
487	0.4321575093
488	0.4321563595
489	0.4321544923
490	0.432138634
491	0.4321166201
492	0.4321156297
493	0.4321074658
494	0.4321009509
495	0.4320829399
496	0.4320660655
497	0.4320480384
498	0.4320465766
499	0.4320275426
500	0.4320133463
501	0.4319975227
502	0.4319906433
503	0.4319707402
504	0.4319515621
505	0.431940802
506	0.4319275559
507	0.4319065815
508	0.4318976351
509	0.4318784099
510	0.4318643099
511	0.4318626278
512	0.4318354184
513	0.4318244017
514	0.4318216681
515	0.4317987962
516	0.4317809396
517	0.4317727837
518	0.4317597045
519	0.4317401502
520	0.4317266046
521	0.4317156264
522	0.4316980136
523	0.4316749772
524	0.4316617088
525	0.431653962
526	0.4316452445
527	0.4316308648
528	0.43163085
529	0.4316169116
530	0.4316047728
531	0.4316001377
532	0.4315834969
533	0.4315581593
534	0.431546293
535	0.4315440965
536	0.4315363136
537	0.4315271272
538	0.4315089992
539	0.4315083915
540	0.431507689
541	0.4314915827
542	0.4314827432
543	0.4314774334
544	0.4314619572
545	0.431452866
546	0.4314371425
547	0.4314259127
548	0.4314116454
549	0.4313970177
550	0.4313881604
551	0.4313838765
552	0.4313765858
553	0.4313756204
554	0.4313590426
555	0.4313366649
556	0.4313208895
557	0.43130072
558	0.4312950891
559	0.4312800654
560	0.4312661557
561	0.4312545346
562	0.4312314127
563	0.4312201741
564	0.4312089074
565	0.431193114
566	0.4311851182
567	0.4311716275
568	0.4311646172
569	0.4311532055
570	0.4311388631
571	0.4311278982
572	0.4311150515
573	0.4311145407
574	0.4311013126
575	0.4310864302
576	0.4310800475
577	0.4310647146
578	0.431056677
579	0.4310395424
580	0.4310339333
581	0.4310261529
582	0.4310167778
583	0.4310046493
584	0.4309864028
585	0.4309720535
586	0.4309510713
587	0.4309432308
588	0.4309327788
589	0.4309250447
590	0.4309132285
591	0.430896177
592	0.4308962035
593	0.4308824223
594	0.4308636417
595	0.4308635242
596	0.4308609935
597	0.4308451086
598	0.4308417826
599	0.4308250358
600	0.4308090169
601	0.4307880394
602	0.4307776466
603	0.4307619825
604	0.4307387625
605	0.4307253148
606	0.4307183665
607	0.4307023578
608	0.4306930704
609	0.4306811348
610	0.4306688036
611	0.430647322
612	0.4306340325
613	0.4306162662
614	0.4306161153
615	0.4306037152
616	0.4305964252
617	0.4305863495
618	0.4305664847
619	0.4305598392
620	0.4305492838
621	0.4305488613
622	0.4305416902
623	0.4305366269
624	0.4305274906
625	0.4305269297
626	0.4305119975
627	0.4304970546
628	0.4304840086
629	0.4304785882
630	0.4304666366
631	0.4304542381
632	0.4304437153
633	0.4304317253
634	0.4304202117
635	0.430403395
636	0.4303908341
637	0.4303751816
638	0.4303680625
639	0.4303557373
640	0.4303482436
641	0.4303293977
642	0.4303217584
643	0.4303191635
644	0.4303171875
645	0.4303072227
646	0.4302991723
647	0.4302911648
648	0.43028525
649	0.4302675607
650	0.4302542291
651	0.4302315314
652	0.4302225752
653	0.4302089568
654	0.4302039779
655	0.4301990975
656	0.4301875685
657	0.4301760803
658	0.4301680683
659	0.430158184
660	0.4301497048
661	0.430139758
662	0.4301207801
663	0.430113638
664	0.4301088827
665	0.4300922638
666	0.4300686562
667	0.4300601619
668	0.4300521022
669	0.4300519637
670	0.4300437551
671	0.4300333794
672	0.4300237815
673	0.4300197504
674	0.4300105081
675	0.4300095932
676	0.4300027469
677	0.4300024041
678	0.4299993628
679	0.4299945645
680	0.4299819355
681	0.4299726317
682	0.4299724848
683	0.4299630091
684	0.4299568107
685	0.4299509086
686	0.4299304088
687	0.4299207066
688	0.4299067525
689	0.4298899815
690	0.4298788414
691	0.4298762476
692	0.4298634171
693	0.429856483
694	0.4298447913
695	0.4298338754
696	0.429817833
697	0.4298168358
698	0.4298086115
699	0.429801848
700	0.4297904655
701	0.429775354
702	0.429765484
703	0.4297548283
704	0.4297451253
705	0.4297277078
706	0.429727125
707	0.4297162616
708	0.4297085746
709	0.4296886617
710	0.4296776154
711	0.4296645558
712	0.4296541272
713	0.4296435727
714	0.4296333004
715	0.4296215962
716	0.429606169
717	0.4295956841
718	0.4295796386
719	0.4295691438
720	0.4295472091
721	0.4295396014
722	0.4295302159
723	0.429522288
724	0.429520071
725	0.4295058713
726	0.4294955736
727	0.4294812013
728	0.4294711306
729	0.4294643515
730	0.4294562248
731	0.4294501738
732	0.4294367425
733	0.4294282427
734	0.429409474
735	0.4294083834
736	0.4293999318
737	0.4293942919
738	0.4293919738
739	0.4293737849
740	0.4293617119
741	0.4293542111
742	0.4293392388
743	0.4293352952
744	0.4293274242
745	0.4293222746
746	0.4293033792
747	0.4292901939
748	0.4292832878
749	0.4292655983
750	0.429248395
751	0.4292399011
752	0.4292300216
753	0.4292156578
754	0.4292027262
755	0.4291954942
756	0.4291893644
757	0.4291799111
758	0.4291690145
759	0.4291552021
760	0.4291383277
761	0.4291293072
762	0.4291240426
763	0.4291086395
764	0.4290974052
765	0.4290789786
766	0.4290724178
767	0.4290664785
768	0.4290563991
769	0.4290449699
770	0.4290371406
771	0.4290360592
772	0.4290277034
773	0.4290171256
774	0.4290100963
775	0.4290075664
776	0.4290037123
777	0.4289903517
778	0.4289809504
779	0.4289721881
780	0.4289622286
781	0.4289532937
782	0.4289395714
783	0.4289257535
784	0.4289194629
785	0.4289133513
786	0.4289092931
787	0.4288991947
788	0.4288833518
789	0.4288610478
790	0.4288493111
791	0.4288418317
792	0.4288273685
793	0.4288086968
794	0.4288011825
795	0.4287902522
796	0.4287895364
797	0.4287837398
798	0.4287730594
799	0.4287608985
800	0.4287526385
801	0.4287386835
802	0.4287244806
803	0.4287217192
804	0.4287033714
805	0.4286911934
806	0.4286824449
807	0.4286783578
808	0.4286651004
809	0.4286626539
810	0.4286511997
811	0.4286397692
812	0.4286392149
813	0.4286364449
814	0.428625182
815	0.428601988
816	0.4285915395
817	0.4285867634
818	0.4285737535
819	0.428565374
820	0.428553197
821	0.4285433514
822	0.4285324047
823	0.4285216302
824	0.4285053803
825	0.4284986262
826	0.4284889426
827	0.4284775654
828	0.4284750681
829	0.428464431
830	0.4284558476
831	0.4284490257
832	0.4284455742
833	0.4284386993
834	0.4284247864
835	0.428412278
836	0.4284072889
837	0.4283920074
838	0.4283892011
839	0.4283823642
840	0.4283694482
841	0.4283537938
842	0.4283513317
843	0.4283460914
844	0.4283302442
845	0.4283258208
846	0.4283190123
847	0.4283101451
848	0.4283028332
849	0.4282968329
850	0.4282818796
851	0.4282811628
852	0.4282620944
853	0.4282437666
854	0.4282437877
855	0.4282381334
856	0.4282259596
857	0.4282182495
858	0.4282151217
859	0.4281987139
860	0.4281835313
861	0.4281731461
862	0.4281708633
863	0.4281558061
864	0.428155717
865	0.4281426834
866	0.4281319235
867	0.4281269927
868	0.4281266053
869	0.428122372
870	0.4281050196
871	0.4280938398
872	0.4280760647
873	0.4280654201
874	0.4280533965
875	0.4280364019
876	0.428032341
877	0.4280218301
878	0.4280115804
879	0.428007077
880	0.4279926604
881	0.4279924139
882	0.4279827865
883	0.4279640826
884	0.427952876
885	0.4279450933
886	0.4279303335
887	0.4279296432
888	0.4279233022
889	0.4279099895
890	0.4279100045
891	0.4279068827
892	0.4279003033
893	0.4278894401
894	0.4278770448
895	0.4278663448
896	0.4278556558
897	0.4278480001
898	0.4278456959
899	0.4278288589
900	0.4278204186
901	0.4278098587
902	0.4277966492
903	0.4277833344
904	0.4277703106
905	0.4277572072
906	0.4277512372
907	0.42774018
908	0.4277387624
909	0.4277283972
910	0.4277216399
911	0.4277095027
912	0.4277046973
913	0.4277002863
914	0.4276887057
915	0.4276755866
916	0.4276656534
917	0.4276554165
918	0.4276484003
919	0.4276391055
920	0.4276307994
921	0.4276241597
922	0.4276161927
923	0.427609302
924	0.4276051287
925	0.4275955317
926	0.4275881969
927	0.4275874941
928	0.4275801052
929	0.4275737521
930	0.4275687261
931	0.42755397
932	0.4275414869
933	0.4275311657
934	0.4275214507
935	0.4275028541
936	0.4274859395
937	0.4274787408
938	0.4274665144
939	0.4274606362
940	0.4274539549
941	0.4274448177
942	0.4274297281
943	0.4274202912
944	0.4274101606
945	0.4274002121
946	0.4273886596
947	0.4273812353
948	0.4273678708
949	0.4273627383
950	0.4273564346
951	0.4273469379
952	0.4273351396
953	0.4273262558
954	0.4273204387
955	0.427306936
956	0.4272975841
957	0.4272920114
958	0.4272826256
959	0.4272732763
960	0.4272524284
961	0.427239575
962	0.4272350675
963	0.4272285838
964	0.4272143617
965	0.4272061718
966	0.4272023735
967	0.4272019233
968	0.427189285
969	0.4271745379
970	0.4271670164
971	0.4271508465
972	0.4271422724
973	0.4271394138
974	0.4271317212
975	0.4271193531
976	0.4271076844
977	0.4270974902
978	0.4270870797
979	0.4270729952
980	0.4270613895
981	0.4270539317
982	0.4270469217
983	0.4270348115
984	0.4270136324
985	0.4270019446
986	0.4269932432
987	0.4269806318
988	0.4269707069
989	0.426960618
990	0.4269551295
991	0.4269501371
992	0.4269379584
993	0.4269264601
994	0.4269158392
995	0.4269077396
996	0.4268945783
997	0.4268894988
998	0.4268814852
999	0.4268702916
